id,at,actor,action,tbl,row_key,changes
133,2026-09-15T17:41:59.603949+00:00,Emma,insert,measurements,2026-09-14 / plant 10,"{""lai"":null,""note"":null,""spad"":null,""leaves"":null,""obs_date"":""2026-09-14"",""plant_id"":10,""height_cm"":5,""updated_at"":""2026-09-15T17:41:59.441+00:00"",""recorded_by"":""Emma"",""internode_cm"":null}"
134,2026-09-15T17:42:01.55511+00:00,Emma,update,measurements,2026-09-14 / plant 10,"{""leaves"":2}"
135,2026-09-15T17:42:02.716353+00:00,Emma,insert,measurements,2026-09-14 / plant 11,"{""lai"":null,""note"":null,""spad"":null,""leaves"":1,""obs_date"":""2026-09-14"",""plant_id"":11,""height_cm"":null,""updated_at"":""2026-09-15T17:42:02.572+00:00"",""recorded_by"":""Emma"",""internode_cm"":null}"
136,2026-09-15T17:42:03.959937+00:00,Emma,insert,measurements,2026-09-14 / plant 12,"{""lai"":null,""note"":null,""spad"":null,""leaves"":2,""obs_date"":""2026-09-14"",""plant_id"":12,""height_cm"":null,""updated_at"":""2026-09-15T17:42:03.811+00:00"",""recorded_by"":""Emma"",""internode_cm"":null}"
137,2026-09-15T17:42:07.042716+00:00,Emma,update,measurements,2026-09-14 / plant 11,"{""height_cm"":4}"
138,2026-09-15T17:42:08.474498+00:00,Emma,update,measurements,2026-09-14 / plant 12,"{""height_cm"":9}"
139,2026-09-15T17:42:15.511555+00:00,Emma,insert,day_log,2026-09-14,"{""notes"":""-"",""log_date"":""2026-09-14"",""obs_time"":null,""updated_at"":""2026-09-15T17:42:15.374+00:00"",""recorded_by"":""Emma""}"
140,2026-09-15T17:42:23.798136+00:00,Emma,update,day_log,2026-09-14,"{""notes"":""- Leaves are too small to read on SPAD""}"
141,2026-09-15T17:42:24.940144+00:00,Emma,update,day_log,2026-09-14,"{""notes"":""- Leaves are too small to read on SPAD\n-""}"
142,2026-09-15T17:42:34.332588+00:00,Emma,update,day_log,2026-09-14,"{""notes"":""- Leaves are too small to read on SPAD\n- All pots watered with 1/6 gallon of water""}"
143,2026-09-15T18:11:25.777453+00:00,Emma,update,measurements,2026-09-14 / plant 1,"{""height_cm"":0}"
144,2026-09-15T18:11:26.966364+00:00,Emma,update,measurements,2026-09-14 / plant 1,"{""leaves"":0}"
145,2026-09-15T18:11:33.71531+00:00,Emma,update,measurements,2026-09-14 / plant 2,"{""height_cm"":0}"
146,2026-09-15T18:11:35.137487+00:00,Emma,update,measurements,2026-09-14 / plant 2,"{""leaves"":0}"
147,2026-09-15T18:11:37.48853+00:00,Emma,update,measurements,2026-09-14 / plant 3,"{""height_cm"":0}"
148,2026-09-15T18:11:38.345657+00:00,Emma,update,measurements,2026-09-14 / plant 3,"{""leaves"":0}"
149,2026-09-15T18:11:39.898745+00:00,Emma,update,measurements,2026-09-14 / plant 6,"{""height_cm"":0}"
150,2026-09-15T18:11:41.127143+00:00,Emma,update,measurements,2026-09-14 / plant 6,"{""leaves"":0}"
151,2026-09-15T18:11:43.157691+00:00,Emma,update,measurements,2026-09-14 / plant 4,"{""leaves"":0}"
152,2026-09-15T18:11:46.207053+00:00,Emma,update,measurements,2026-09-14 / plant 7,"{""height_cm"":0}"
153,2026-09-15T18:11:52.911379+00:00,Emma,insert,measurements,2026-09-13 / plant 1,"{""lai"":null,""note"":null,""spad"":null,""leaves"":null,""obs_date"":""2026-09-13"",""plant_id"":1,""height_cm"":0,""updated_at"":""2026-09-15T18:11:52.776+00:00"",""recorded_by"":""Emma"",""internode_cm"":null}"
154,2026-09-15T18:11:53.856802+00:00,Emma,update,measurements,2026-09-13 / plant 1,"{""leaves"":0}"
155,2026-09-15T18:11:55.47382+00:00,Emma,insert,measurements,2026-09-13 / plant 2,"{""lai"":null,""note"":null,""spad"":null,""leaves"":null,""obs_date"":""2026-09-13"",""plant_id"":2,""height_cm"":0,""updated_at"":""2026-09-15T18:11:55.338+00:00"",""recorded_by"":""Emma"",""internode_cm"":null}"
156,2026-09-15T18:11:56.429025+00:00,Emma,update,measurements,2026-09-13 / plant 2,"{""leaves"":0}"
157,2026-09-15T18:11:58.120615+00:00,Emma,insert,measurements,2026-09-13 / plant 3,"{""lai"":null,""note"":null,""spad"":null,""leaves"":null,""obs_date"":""2026-09-13"",""plant_id"":3,""height_cm"":0,""updated_at"":""2026-09-15T18:11:57.981+00:00"",""recorded_by"":""Emma"",""internode_cm"":null}"
158,2026-09-15T18:11:59.062568+00:00,Emma,update,measurements,2026-09-13 / plant 3,"{""leaves"":0}"
